"location","date","vaccine","total_vaccinations"
"Austria","2021-01-08","Johnson&Johnson",0
"Austria","2021-01-08","Moderna",0
"Austria","2021-01-08","Oxford/AstraZeneca",0
"Austria","2021-01-08","Pfizer/BioNTech",31394
"Austria","2021-01-15","Johnson&Johnson",0
"Austria","2021-01-15","Moderna",91
"Austria","2021-01-15","Oxford/AstraZeneca",0
"Austria","2021-01-15","Pfizer/BioNTech",116828
"Austria","2021-01-22","Johnson&Johnson",0
"Austria","2021-01-22","Moderna",311
"Austria","2021-01-22","Oxford/AstraZeneca",1
"Austria","2021-01-22","Pfizer/BioNTech",214696
"Austria","2021-01-29","Johnson&Johnson",0
"Austria","2021-01-29","Moderna",4265
"Austria","2021-01-29","Oxford/AstraZeneca",2
"Austria","2021-01-29","Pfizer/BioNTech",259712
"Austria","2021-02-05","Johnson&Johnson",0
"Austria","2021-02-05","Moderna",5970
"Austria","2021-02-05","Oxford/AstraZeneca",7
"Austria","2021-02-05","Pfizer/BioNTech",355759
"Austria","2021-02-12","Johnson&Johnson",0
"Austria","2021-02-12","Moderna",10068
"Austria","2021-02-12","Oxford/AstraZeneca",10834
"Austria","2021-02-12","Pfizer/BioNTech",457762
"Austria","2021-02-19","Johnson&Johnson",0
"Austria","2021-02-19","Moderna",14206
"Austria","2021-02-19","Oxford/AstraZeneca",43673
"Austria","2021-02-19","Pfizer/BioNTech",523708
"Austria","2021-02-26","Johnson&Johnson",0
"Austria","2021-02-26","Moderna",22634
"Austria","2021-02-26","Oxford/AstraZeneca",101614
"Austria","2021-02-26","Pfizer/BioNTech",585107
"Austria","2021-03-05","Johnson&Johnson",0
"Austria","2021-03-05","Moderna",32003
"Austria","2021-03-05","Oxford/AstraZeneca",156595
"Austria","2021-03-05","Pfizer/BioNTech",689860
"Austria","2021-03-12","Johnson&Johnson",0
"Austria","2021-03-12","Moderna",47398
"Austria","2021-03-12","Oxford/AstraZeneca",235480
"Austria","2021-03-12","Pfizer/BioNTech",853291
"Austria","2021-03-19","Johnson&Johnson",17
"Austria","2021-03-19","Moderna",79267
"Austria","2021-03-19","Oxford/AstraZeneca",308926
"Austria","2021-03-19","Pfizer/BioNTech",986270
"Austria","2021-03-26","Johnson&Johnson",31
"Austria","2021-03-26","Moderna",104729
"Austria","2021-03-26","Oxford/AstraZeneca",384513
"Austria","2021-03-26","Pfizer/BioNTech",1132810
"Austria","2021-04-02","Johnson&Johnson",52
"Austria","2021-04-02","Moderna",141167
"Austria","2021-04-02","Oxford/AstraZeneca",423134
"Austria","2021-04-02","Pfizer/BioNTech",1281272
"Austria","2021-04-09","Johnson&Johnson",94
"Austria","2021-04-09","Moderna",180765
"Austria","2021-04-09","Oxford/AstraZeneca",513705
"Austria","2021-04-09","Pfizer/BioNTech",1502953
"Austria","2021-04-16","Johnson&Johnson",103
"Austria","2021-04-16","Moderna",223345
"Austria","2021-04-16","Oxford/AstraZeneca",609775
"Austria","2021-04-16","Pfizer/BioNTech",1737051
"Austria","2021-04-23","Johnson&Johnson",108
"Austria","2021-04-23","Moderna",260718
"Austria","2021-04-23","Oxford/AstraZeneca",658795
"Austria","2021-04-23","Pfizer/BioNTech",2000887
"Austria","2021-04-30","Johnson&Johnson",374
"Austria","2021-04-30","Moderna",299708
"Austria","2021-04-30","Oxford/AstraZeneca",701313
"Austria","2021-04-30","Pfizer/BioNTech",2274575
"Austria","2021-05-07","Johnson&Johnson",6512
"Austria","2021-05-07","Moderna",349032
"Austria","2021-05-07","Oxford/AstraZeneca",764454
"Austria","2021-05-07","Pfizer/BioNTech",2605274
"Austria","2021-05-14","Johnson&Johnson",13516
"Austria","2021-05-14","Moderna",398959
"Austria","2021-05-14","Oxford/AstraZeneca",828744
"Austria","2021-05-14","Pfizer/BioNTech",2904942
"Austria","2021-05-21","Johnson&Johnson",25788
"Austria","2021-05-21","Moderna",466996
"Austria","2021-05-21","Oxford/AstraZeneca",906665
"Austria","2021-05-21","Pfizer/BioNTech",3282990
"Austria","2021-05-28","Johnson&Johnson",37955
"Austria","2021-05-28","Moderna",520630
"Austria","2021-05-28","Oxford/AstraZeneca",989735
"Austria","2021-05-28","Pfizer/BioNTech",3618496
"Austria","2021-06-04","Johnson&Johnson",58225
"Austria","2021-06-04","Moderna",576049
"Austria","2021-06-04","Oxford/AstraZeneca",1058541
"Austria","2021-06-04","Pfizer/BioNTech",4044410
"Austria","2021-06-11","Johnson&Johnson",79903
"Austria","2021-06-11","Moderna",639094
"Austria","2021-06-11","Oxford/AstraZeneca",1154118
"Austria","2021-06-11","Pfizer/BioNTech",4483196
"Austria","2021-06-18","Johnson&Johnson",94881
"Austria","2021-06-18","Moderna",688760
"Austria","2021-06-18","Oxford/AstraZeneca",1206718
"Austria","2021-06-18","Pfizer/BioNTech",4938548
"Austria","2021-06-25","Johnson&Johnson",103445
"Austria","2021-06-25","Moderna",744540
"Austria","2021-06-25","Oxford/AstraZeneca",1280807
"Austria","2021-06-25","Pfizer/BioNTech",5383633
"Austria","2021-07-02","Johnson&Johnson",128857
"Austria","2021-07-02","Moderna",804640
"Austria","2021-07-02","Oxford/AstraZeneca",1388835
"Austria","2021-07-02","Pfizer/BioNTech",5774853
"Austria","2021-07-09","Johnson&Johnson",152928
"Austria","2021-07-09","Moderna",855072
"Austria","2021-07-09","Oxford/AstraZeneca",1456826
"Austria","2021-07-09","Pfizer/BioNTech",6102326
"Austria","2021-07-16","Johnson&Johnson",172185
"Austria","2021-07-16","Moderna",899580
"Austria","2021-07-16","Oxford/AstraZeneca",1508608
"Austria","2021-07-16","Pfizer/BioNTech",6374385
"Austria","2021-07-23","Johnson&Johnson",188710
"Austria","2021-07-23","Moderna",946077
"Austria","2021-07-23","Oxford/AstraZeneca",1538474
"Austria","2021-07-23","Pfizer/BioNTech",6622580
"Austria","2021-07-30","Johnson&Johnson",200746
"Austria","2021-07-30","Moderna",964987
"Austria","2021-07-30","Oxford/AstraZeneca",1565140
"Austria","2021-07-30","Pfizer/BioNTech",6832085
"Austria","2021-08-06","Johnson&Johnson",215858
