"location","date","vaccine","total_vaccinations"
"Austria","2021-01-08","Johnson&Johnson",0
"Austria","2021-01-08","Moderna",0
"Austria","2021-01-08","Oxford/AstraZeneca",0
"Austria","2021-01-08","Pfizer/BioNTech",31096
"Austria","2021-01-15","Johnson&Johnson",0
"Austria","2021-01-15","Moderna",90
"Austria","2021-01-15","Oxford/AstraZeneca",0
"Austria","2021-01-15","Pfizer/BioNTech",115843
"Austria","2021-01-22","Johnson&Johnson",0
"Austria","2021-01-22","Moderna",305
"Austria","2021-01-22","Oxford/AstraZeneca",0
"Austria","2021-01-22","Pfizer/BioNTech",213229
"Austria","2021-01-29","Johnson&Johnson",0
"Austria","2021-01-29","Moderna",4194
"Austria","2021-01-29","Oxford/AstraZeneca",0
"Austria","2021-01-29","Pfizer/BioNTech",257942
"Austria","2021-02-05","Johnson&Johnson",0
"Austria","2021-02-05","Moderna",5881
"Austria","2021-02-05","Oxford/AstraZeneca",2
"Austria","2021-02-05","Pfizer/BioNTech",353493
"Austria","2021-02-12","Johnson&Johnson",0
"Austria","2021-02-12","Moderna",9960
"Austria","2021-02-12","Oxford/AstraZeneca",10781
"Austria","2021-02-12","Pfizer/BioNTech",454977
"Austria","2021-02-19","Johnson&Johnson",0
"Austria","2021-02-19","Moderna",14083
"Austria","2021-02-19","Oxford/AstraZeneca",43539
"Austria","2021-02-19","Pfizer/BioNTech",520647
"Austria","2021-02-26","Johnson&Johnson",0
"Austria","2021-02-26","Moderna",22403
"Austria","2021-02-26","Oxford/AstraZeneca",101320
"Austria","2021-02-26","Pfizer/BioNTech",581766
"Austria","2021-03-05","Johnson&Johnson",0
"Austria","2021-03-05","Moderna",31696
"Austria","2021-03-05","Oxford/AstraZeneca",156151
"Austria","2021-03-05","Pfizer/BioNTech",686118
"Austria","2021-03-12","Johnson&Johnson",0
"Austria","2021-03-12","Moderna",47032
"Austria","2021-03-12","Oxford/AstraZeneca",234780
"Austria","2021-03-12","Pfizer/BioNTech",848808
"Austria","2021-03-19","Johnson&Johnson",14
"Austria","2021-03-19","Moderna",78797
"Austria","2021-03-19","Oxford/AstraZeneca",308011
"Austria","2021-03-19","Pfizer/BioNTech",981270
"Austria","2021-03-26","Johnson&Johnson",26
"Austria","2021-03-26","Moderna",104167
"Austria","2021-03-26","Oxford/AstraZeneca",383332
"Austria","2021-03-26","Pfizer/BioNTech",1127259
"Austria","2021-04-02","Johnson&Johnson",44
"Austria","2021-04-02","Moderna",140482
"Austria","2021-04-02","Oxford/AstraZeneca",421865
"Austria","2021-04-02","Pfizer/BioNTech",1275105
"Austria","2021-04-09","Johnson&Johnson",82
"Austria","2021-04-09","Moderna",179975
"Austria","2021-04-09","Oxford/AstraZeneca",512212
"Austria","2021-04-09","Pfizer/BioNTech",1495983
"Austria","2021-04-16","Johnson&Johnson",88
"Austria","2021-04-16","Moderna",222432
"Austria","2021-04-16","Oxford/AstraZeneca",608078
"Austria","2021-04-16","Pfizer/BioNTech",1729369
"Austria","2021-04-23","Johnson&Johnson",93
"Austria","2021-04-23","Moderna",259719
"Austria","2021-04-23","Oxford/AstraZeneca",657004
"Austria","2021-04-23","Pfizer/BioNTech",1992543
"Austria","2021-04-30","Johnson&Johnson",351
"Austria","2021-04-30","Moderna",298635
"Austria","2021-04-30","Oxford/AstraZeneca",699448
"Austria","2021-04-30","Pfizer/BioNTech",2265615
"Austria","2021-05-07","Johnson&Johnson",6471
"Austria","2021-05-07","Moderna",347859
"Austria","2021-05-07","Oxford/AstraZeneca",762421
"Austria","2021-05-07","Pfizer/BioNTech",2595558
"Austria","2021-05-14","Johnson&Johnson",13457
"Austria","2021-05-14","Moderna",397653
"Austria","2021-05-14","Oxford/AstraZeneca",826545
"Austria","2021-05-14","Pfizer/BioNTech",2894545
"Austria","2021-05-21","Johnson&Johnson",25700
"Austria","2021-05-21","Moderna",465527
"Austria","2021-05-21","Oxford/AstraZeneca",904258
"Austria","2021-05-21","Pfizer/BioNTech",3271610
"Austria","2021-05-28","Johnson&Johnson",37840
"Austria","2021-05-28","Moderna",519025
"Austria","2021-05-28","Oxford/AstraZeneca",987058
"Austria","2021-05-28","Pfizer/BioNTech",3606147
"Austria","2021-06-04","Johnson&Johnson",57896
"Austria","2021-06-04","Moderna",574266
"Austria","2021-06-04","Oxford/AstraZeneca",1055580
"Austria","2021-06-04","Pfizer/BioNTech",4030659
"Austria","2021-06-11","Johnson&Johnson",79485
"Austria","2021-06-11","Moderna",637079
"Austria","2021-06-11","Oxford/AstraZeneca",1150832
"Austria","2021-06-11","Pfizer/BioNTech",4468252
"Austria","2021-06-18","Johnson&Johnson",94381
"Austria","2021-06-18","Moderna",686605
"Austria","2021-06-18","Oxford/AstraZeneca",1203180
"Austria","2021-06-18","Pfizer/BioNTech",4921982
"Austria","2021-06-25","Johnson&Johnson",102884
"Austria","2021-06-25","Moderna",742227
"Austria","2021-06-25","Oxford/AstraZeneca",1277007
"Austria","2021-06-25","Pfizer/BioNTech",5365683
"Austria","2021-07-02","Johnson&Johnson",128189
"Austria","2021-07-02","Moderna",802123
"Austria","2021-07-02","Oxford/AstraZeneca",1384706
"Austria","2021-07-02","Pfizer/BioNTech",5755613
"Austria","2021-07-09","Johnson&Johnson",152097
"Austria","2021-07-09","Moderna",852301
"Austria","2021-07-09","Oxford/AstraZeneca",1452403
"Austria","2021-07-09","Pfizer/BioNTech",6081475
"Austria","2021-07-16","Johnson&Johnson",171233
"Austria","2021-07-16","Moderna",896595
"Austria","2021-07-16","Oxford/AstraZeneca",1503967
"Austria","2021-07-16","Pfizer/BioNTech",6352124
"Austria","2021-07-23","Johnson&Johnson",187530
"Austria","2021-07-23","Moderna",942856
"Austria","2021-07-23","Oxford/AstraZeneca",1533667
"Austria","2021-07-23","Pfizer/BioNTech",6598486
"Austria","2021-07-30","Johnson&Johnson",199339
"Austria","2021-07-30","Moderna",961523
"Austria","2021-07-30","Oxford/AstraZeneca",1560123
"Austria","2021-07-30","Pfizer/BioNTech",6806504
"Austria","2021-08-06","Johnson&Johnson",214223
